Churn_1_PREDICTION,Churn_0_PREDICTION,Churn_PREDICTION,THRESHOLD,POSITIVE_CLASS,DEPLOYMENT_APPROVAL_STATUS,Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
0.0940998757,0.9059001243,0,0.5,1,APPROVED,Cameron Williams,42.0,11066.8,0,7.22,8.0,2013-08-30 07:00:40,"10265 Elizabeth Mission Barkerburgh, AK 89518",Harvey LLC,1
0.5701457627,0.4298542373,1,0.5,1,APPROVED,Kevin Mueller,41.0,11916.22,0,6.5,11.0,2013-08-13 00:38:46,"6157 Frank Gardens Suite 019 Carloshaven, RI 17756",Wilson PLC,1
0.7772098324,0.2227901676,1,0.5,1,APPROVED,Eric Lozano,38.0,12884.75,0,6.67,12.0,2016-06-29 06:20:07,"1331 Keith Court Alyssahaven, DE 90114","Miller, Johnson and Wallace",1
0.357407726,0.642592274,0,0.5,1,APPROVED,Phillip White,42.0,8010.76,0,6.71,10.0,2014-04-22 12:43:12,"13120 Daniel Mount Angelabury, WY 30645-4695",Smith Inc,1
0.0922838798,0.9077161202,0,0.5,1,APPROVED,Cynthia Norton,37.0,9191.58,0,5.56,9.0,2016-01-19 15:31:15,"765 Tricia Row Karenshire, MH 71730",Love-Jones,1
0.0469564125,0.9530435875,0,0.5,1,APPROVED,Jessica Williams,48.0,10356.02,0,5.12,8.0,2009-03-03 23:13:37,"6187 Olson Mountains East Vincentborough, PR 74359",Kelly-Warren,1
0.5235557889,0.4764442111,1,0.5,1,APPROVED,Eric Butler,44.0,11331.58,1,5.23,11.0,2016-12-05 03:35:43,"4846 Savannah Road West Justin, IA 87713-3460",Reynolds-Sheppard,1
0.1686309299,0.8313690701,0,0.5,1,APPROVED,Zachary Walsh,32.0,9885.12,1,6.92,9.0,2006-03-09 14:50:20,"25271 Roy Expressway Suite 147 Brownport, FM 59852-6150",Singh-Cole,1
0.5563448731,0.4436551269,1,0.5,1,APPROVED,Ashlee Carr,43.0,14062.6,1,5.46,11.0,2011-09-29 05:47:23,"3725 Caroline Stravenue South Christineview, MA 82059",Lopez PLC,1
0.6880268747,0.3119731253,1,0.5,1,APPROVED,Jennifer Lynch,40.0,8066.94,1,7.11,11.0,2006-03-28 15:42:45,"363 Sandra Lodge Suite 144 South Ann, WI 51655-7561",Reed-Martinez,1
